id,percent_change_24h,percent_change_7d
bitcoin-scrypt,5.22,58.6
boolberry,5.29,113.6
maxcoin,5.3,8.84
iquant,5.34,-10.5
bitgold,5.37,3.57
clams,5.4,7.84
bt1-cst,5.42,11.81
linx,5.47,35.81
tron,5.53,-7.85
roulettetoken,5.62,6.47
prototanium,5.64,-16.67
qvolta,5.7,-29.7
swing,5.74,15.32
trumpcoin,5.81,54.83
polybius,5.83,17.94
altcoin-alt,5.87,24.01
ebtcnew,5.9,21.86
exchangen,5.9,29.15
trust,5.98,21.89
tajcoin,6.01,4.2
sydpak,6.04,15.54
bitsilver,6.04,3.27
global-tour-coin,6.04,18.95
litedoge,6.06,4.7
flycoin,6.1,17.13
triangles,6.19,-8.88
swapcoin,6.23,-32.69
digital-rupees,6.27,-37.65
plncoin,6.27,-22.41
halloween-coin,6.27,-29.79
px,6.27,17.39
biobar,6.27,2.05
wearesatoshi,6.27,-4.9
golfcoin,6.27,15.14
prospectors-gold,6.27,-25.54
applecoin-apw,6.27,17.44
hempcoin-hmp,6.27,17.39
cyder,6.27,-21.15
cryptoworldx-token,6.29,7.77
teslacoilcoin,6.3,98.71
metal-music-coin,6.3,15.95
macro1,6.3,-37.57
p7coin,6.3,17.49
moneta2,6.31,17.44
lazaruscoin,6.31,34.17
eccoin,6.31,3.45
rcoin,6.31,5.41
uncoin,6.31,17.49
cheapcoin,6.31,7.08
teamup,6.31,17.44
quebecoin,6.31,17.44
shacoin,6.31,40.46
futcoin,6.31,-3.78
usde,6.31,17.49
ugain,6.31,15.17
elacoin,6.31,18.67
axiom,6.31,16.72
peepcoin,6.31,245.56
wyvern,6.31,23.14
warp,6.31,18.59
posex,6.31,17.07
hitcoin,6.31,17.49
shorty,6.31,15.67
impulsecoin,6.31,17.44
flash,6.31,8.54
bumbacoin,6.31,15.7
ego,6.31,14.48
irishcoin,6.31,22.48
valorbit,6.31,18.56
crtcoin,6.31,17.39
ufo-coin,6.31,76.23
sooncoin,6.32,22.78
kingn-coin,6.32,-10.74
peerplays-ppy,6.32,-20.11
time-new-bank,6.33,25.45
woodcoin,6.35,-3.85
sativacoin,6.36,75.93
gulden,6.42,3.63
alphabitcoinfund,6.42,34.26
elcoin-el,6.43,60.35
funcoin,6.44,-10.29
wowcoin,6.45,17.05
auroracoin,6.47,32.27
oxycoin,6.49,-23.17
bitcrystals,6.52,16.98
student-coin,6.56,96.17
namocoin,6.56,-24.13
internxt,6.57,166.57
project-decorum,6.57,16.22
dotcoin,6.62,28.65
sugar-exchange,6.7,-34.09
qibuck-asset,6.7,38.86
xde-ii,6.85,-37.69
goldpieces,6.94,18.18
neoscoin,6.98,33.0
the-champcoin,7.02,1.77
i0coin,7.05,37.62
prime-xi,7.11,13.27
potcoin,7.19,45.81
qubitcoin,7.19,-27.73
tokencard,7.27,-28.35
pabyosi-coin-special,7.32,4.27
bitcoin,7.33,17.45
thegcccoin,7.33,13.11
anryze,7.34,-29.16
gaia,7.37,-1.5
dinastycoin,7.38,43.57
bitpark-coin,7.41,-2.24
beavercoin,7.48,7.87
aidos-kuneen,7.57,-17.72
hush,7.59,0.61
xgox,7.59,28.07
quark,7.65,6.81
toacoin,7.74,-5.48
crave,7.83,12.43
fucktoken,7.83,-18.37
harmonycoin-hmc,7.84,-5.5
billarycoin,7.85,-35.84
genesis-vision,7.88,19.95
cvcoin,7.91,6.17
investfeed,7.97,55.0
bitcoinfast,7.97,53.2
betacoin,8.08,-14.13
synergy,8.09,24.41
digital-bullion-gold,8.13,17.44
cartaxi-token,8.14,17.79
tagcoin,8.15,71.07
emercoin,8.2,18.98
batcoin,8.22,12.47
x-coin,8.25,33.02
cobinhood,8.37,65.46
spectrecoin,8.38,9.35
ixledger,8.42,84.24
chancoin,8.46,8.18
osmiumcoin,8.47,16.41
ratecoin,8.48,8.52
coin2-1,8.57,138.02
zcash-gold,8.62,-3.22
evil-coin,8.64,21.44
neblio,8.7,37.88
tigercoin,8.74,5.97
dollarcoin,8.86,20.31
redcoin,8.9,15.27
wild-beast-block,8.91,34.95
titcoin,8.95,33.96
terracoin,8.96,36.69
zcash,9.0,-2.2
dentacoin,9.02,7.91
etheriya,9.2,16.67
bitshares,9.2,9.18
infinity-economics,9.23,-32.44
circuits-of-value,9.32,35.58
hyper,9.33,58.53
pluton,9.35,42.41
dfscoin,9.45,-17.38
californium,9.48,41.7
goldreserve,9.53,-27.62
solarcoin,9.54,20.13
pluscoin,9.56,6.66
grimcoin,9.57,-5.5
brat,9.59,-16.02
hyperstake,9.6,47.52
ripto-bux,9.67,16.44
bitcoin-21,9.74,117.14
hobonickels,9.74,-2.26
dashcoin,9.77,39.65
ergo,9.79,27.68
mmxvi,9.8,6.12
salus,9.83,38.9
skycoin,9.85,82.61
edrcoin,9.97,6.79
franko,9.99,21.62
adcoin,10.08,-23.8
artex-coin,10.09,-15.4
icon,10.11,12.51
eltc,10.21,2.07
atmos,10.34,7.38
kin,10.34,17.62
gamebet-coin,10.45,26.41
tezos,10.46,33.29
renos,10.56,-4.87
birds,10.62,-42.1
bolenum,10.64,36.83
zetacoin,10.65,12.2
skincoin,10.65,-14.24
braincoin,10.7,-12.03
bitquark,10.74,-12.82
dnotes,10.78,25.16
zennies,10.85,2.89
philosopher-stones,10.87,21.69
anarchistsprime,10.9,-18.92
42-coin,10.98,24.86
300-token,11.15,-26.0
diamond,11.16,25.62
kekcoin,11.29,30.6
ereal,11.45,-29.25
cryptonex,11.47,62.62
eurocoin,11.49,-2.27
crown,11.52,21.09
allion,11.71,10.46
