id,percent_change_24h,percent_change_7d
digitalcoin,21.99,26.54
cryptocarbon,19.25,26.72
boscoin,16.57,26.84
trustplus,-1.09,26.89
litecoin-plus,-2.51,26.9
pokecoin,-0.43,26.93
ark,-2.28,26.98
bytecoin-bcn,0.39,26.99
blockpool,16.44,27.1
fujicoin,19.42,27.15
ergo,9.79,27.68
ultimate-secure-cash,32.05,27.68
votecoin,1.07,27.77
artbyte,15.81,27.87
xgox,7.59,28.07
honey,23.13,28.1
orlycoin,17.41,28.17
virta-unique-coin,21.15,28.32
letitride,31.86,28.57
dotcoin,6.62,28.65
secretcoin,0.04,28.76
insanecoin-insn,19.62,29.04
exchangen,5.9,29.15
berncash,3.4,29.72
bitbar,0.78,29.91
icoin,3.05,30.08
omni,12.99,30.14
whalecoin,-0.41,30.15
nexus,-5.97,30.48
yacoin,24.03,30.52
crystal-clear,-36.01,30.55
gambit,1.09,30.55
kekcoin,11.29,30.6
eidoo,34.64,30.64
alis,29.54,30.71
monetaryunit,-1.72,30.82
the-cypherfunks,13.54,30.89
indorse-token,-8.61,31.08
vaperscoin,-16.56,31.18
tokes,-19.8,31.34
divi,-8.67,31.5
achain,17.23,31.61
virtualcoin,57.45,31.95
metalcoin,17.05,32.01
useless-ethereum-token,27.6,32.2
auroracoin,6.47,32.27
spots,13.3,32.47
zozocoin,-4.6,32.47
bcap,13.42,32.5
lomocoin,-2.26,32.74
hive,-3.87,32.87
globalcoin,-11.09,32.89
neoscoin,6.98,33.0
x-coin,8.25,33.02
machinecoin,-1.65,33.27
tezos,10.46,33.29
viacoin,2.74,33.42
syscoin,1.56,33.43
shadowcash,13.56,33.52
snakeeyes,15.09,33.89
titcoin,8.95,33.96
antilitecoin,-13.38,34.01
lazaruscoin,6.31,34.17
humaniq,-16.14,34.17
monetha,0.33,34.18
fuzzballs,24.16,34.21
alphabitcoinfund,6.42,34.26
request-network,-8.79,34.36
2give,3.19,34.42
burst,3.59,34.66
wild-beast-block,8.91,34.95
circuits-of-value,9.32,35.58
pandacoin-pnd,17.46,35.71
goldblocks,37.94,35.79
linx,5.47,35.81
enigma-project,1.82,35.92
coin,64.25,36.09
royalcoin,15.97,36.16
unify,2.15,36.21
virtacoinplus,-3.36,36.69
terracoin,8.96,36.69
aurumcoin,1.45,36.76
bolenum,10.64,36.83
creatio,46.26,36.84
geertcoin,45.28,37.48
veritaseum,18.03,37.52
i0coin,7.05,37.62
siacoin,-4.11,37.69
neblio,8.7,37.88
tradecoin-v2,83.63,37.96
streamr-datacoin,59.24,38.07
curecoin,1.34,38.7
ixcoin,18.0,38.71
bytecent,22.03,38.81
qibuck-asset,6.7,38.86
salus,9.83,38.9
bowscoin,26.15,38.97
revain,21.13,39.03
minexcoin,-15.06,39.11
posw-coin,11.92,39.22
canada-ecoin,-0.7,39.42
dashcoin,9.77,39.65
ur,29.28,39.82
cream,2.69,40.2
shacoin,6.31,40.46
magnetcoin,5.13,40.5
fluttercoin,15.73,40.59
bytom,36.11,40.65
numeraire,-14.65,40.77
salt,-7.35,40.82
capricoin,19.1,41.12
